n,tDW,tDC,tBB,brutOK,err,tH,errH
27,322.959734160187,25148.873772006482,1261.0883221495897,True,True,0.07980464548049318,0.0
27,253.15532613442176,22698.189155198634,462.48180434728664,True,True,0.08106155520107346,0.0
27,183.59656114346132,20918.76180190593,808.759200037457,True,True,0.0797734117165783,0.0
27,192.1171288435849,23182.776641100645,2979.983624070883,True,True,0.08047299727660183,0.005365233288291868
27,211.46727245385674,20074.05677391216,192.00364343955047,True,True,0.08068528700197115,0.0
27,160.69539200204113,18839.73988215439,616.4672086791446,True,True,0.08158509319842021,0.02247600408086781
27,225.39509453980082,23597.435386152938,415.69568030536175,True,True,0.08223561976746949,0.0
27,162.80566652615866,18766.739037819207,338.8833762811763,True,True,0.08194412918976486,0.018160188851093887
27,211.8181079118089,26481.150721898302,364.5843829959631,True,True,0.08037090501459279,0.004765133711695477
27,223.73388618738812,22682.78869590722,177.6472990001951,True,True,0.0808625337913585,0.0
27,202.9328860808164,21564.37615910545,431.76120024872944,True,True,0.08116508644867522,0.007284176488107901
27,174.04964749169136,19047.71655681543,181.75042498941448,True,True,0.08196604793712191,0.0010599208592425098
27,146.8904663479942,16875.67703705281,579.8501333532234,True,True,0.08215006796352815,0.0
27,380.6538690114394,33077.541592065245,5597.2852751147,True,True,0.08057986954298785,0.0
27,235.42404731269926,20427.204174920917,319.55555100770044,True,True,0.08098747293045486,0.007819446305250721
27,187.57166876457632,22299.278769874945,475.1619887538254,True,True,0.08086493778497394,0.0
27,236.70970839448273,21570.8931570407,226.35865840129554,True,True,0.08097162077472585,0.020974578718194522
27,260.88387211267315,25885.97127702087,10762.67680991441,True,True,0.08128277526939998,0.0014711875863577173
27,163.10492865741253,18638.319649966434,64.2170351067627,True,True,0.08037648856165631,0.0
27,201.24282874166965,21700.08510001935,645.8096749847755,True,True,0.08286250983324508,0.0022091966719521103
27,237.99514600541443,19263.58572510071,375.9574255091138,True,True,0.08090815284539742,0.00793747305349503
27,268.52626733792323,24436.202644137666,6119.297300931066,True,True,0.0804362333398131,0.0
27,145.87713646538117,23427.82214889303,201.78806560579687,True,True,0.08083017230725571,0.00042159700947187945
27,213.02967052906752,20389.081381028518,941.4527914486825,True,True,0.08099002656796826,0.0017770416569619489
27,210.62152892012486,18811.196052003652,803.6398254334927,True,True,0.08171077632125323,0.009578280044101434
27,197.76458374690264,21068.208296084777,312.4684123788029,True,True,0.08100895532647058,0.009336194721106403
27,229.6390748815611,24384.88165498711,1613.396191969514,True,True,0.07994646060628345,0.0034378652123100897
27,247.5909936008975,25777.5947090704,674.8797674663365,True,True,0.08205304740200431,0.016647026751323495
27,238.4018562035635,21734.111454105005,445.85917377844453,True,True,0.08024253888476526,0.007457988797012536
27,154.77764075330924,20966.210728976876,492.8581853552411,True,True,0.0818544327407858,0.0
27,247.76582280173898,26754.922611173242,192.51692031199732,True,True,0.08110905141553852,0.0
27,172.34904600107777,20470.526441931725,160.44745971781336,True,True,0.0803740197627222,0.0
27,141.28481641904833,20890.279493061826,138.82328742571795,True,True,0.08099637267275459,0.0
27,199.43122732608268,22563.94744105637,1031.0119105270132,True,True,0.08152463184501067,0.005508450677746236
27,234.4844268169254,23136.66977896355,277.6682307594456,True,True,0.08083995084286905,0.0
27,227.3620854512873,22862.674180185422,2113.6558030266315,True,True,0.08138518558808602,0.0
27,261.31814164626934,22296.57898005098,2736.7720808833838,True,True,0.07984477125335197,0.008503278060299739
27,253.72798634796507,29291.908574057743,295.0099235866219,True,True,0.08107090938417921,0.0
27,261.07018831599913,23540.373785886914,303.6888344795443,True,True,0.08127804373294907,0.0
27,223.18610318259084,23968.125134939328,913.7616094667464,True,True,0.08091824431833648,0.01100871782645202
27,165.43023432604969,24567.63964612037,935.4898260207847,True,True,0.08095408332169934,0.007328551194773153
27,135.86127839516848,19571.898489957675,414.84622680582106,True,True,0.08115709469129749,0.0034348267227657337
27,209.35362575498098,19773.10276706703,1481.3985850196332,True,True,0.08043891322280405,0.004390729675900778
27,184.64350861568863,23073.409870965406,856.2885659048334,True,True,0.08155612915536205,0.0
27,254.9959455565032,25939.04432305135,364.48534096901614,True,True,0.08148001369914704,0.0
27,191.27072245240782,22709.545728983358,459.2798493492107,True,True,0.0817901490627882,0.006449328039665231
27,181.97385123214468,24774.424097966403,142.6935811019079,True,True,0.0810613511951176,0.0
27,245.86310889571905,28695.115566952154,4815.28856488876,True,True,0.08048523668046455,0.0
27,237.95771200675517,27343.341233208776,1673.9942380227149,True,True,0.08070612118538824,0.0
27,347.8737832712276,31008.009108016267,1562.5814008526504,True,True,0.08055905324648667,0.0
27,212.21505645239216,23360.517763067037,41.758883045986295,True,True,0.08116412412036013,0.0
27,192.68024584744126,19393.1330810301,85.5467746603406,True,True,0.08066545338171315,0.0
27,217.72132843563503,24002.138779964298,64.94439394575441,True,True,0.08147902203640428,0.0005529771896909253
27,165.88676571846008,25190.808721119538,204.79455951135606,True,True,0.08139280334591292,0.010377200469007985
27,195.61080374599746,26923.00872411579,731.0198195045814,True,True,0.07971819725663912,0.0
27,299.6818376414012,23714.904756983742,4320.65822603181,True,True,0.08042986403473609,0.0
27,190.39072345297498,24426.08611099422,718.7165815848857,True,True,0.08147637394628467,0.004564104928311281
27,200.90112158019716,26197.422625962645,1782.2021408937871,True,True,0.0809342801046447,0.0
27,213.43560300936753,20920.388342114165,1274.6285209432244,True,True,0.0801938860095962,0.0
27,218.94084018739787,23286.437064176425,132.70016282331198,True,True,0.08120158487243527,0.003185707366948286
27,250.40894011035564,22553.550645010546,809.3541970010847,True,True,0.0800533713285243,0.012100972768120973
27,256.1780021060258,28877.788704819977,176.4687376562506,True,True,0.08128836153056732,0.0
27,152.64407062204555,21673.819164047018,119.32602071422427,True,True,0.08028106509577754,0.0
27,203.7185628238755,17594.74403085187,267.3516431823373,True,True,0.08107211483553117,0.0018265228102964913
27,192.52100590771684,23271.14682714455,71.60295894075382,True,True,0.08011623106851054,0.0
27,251.59429688937962,25736.985699040815,133.5383215919137,True,True,0.08161712169555924,0.0
27,133.6285720527586,22878.102489979938,1621.9957380089909,True,True,0.0814674832801503,0.014222122920390485
27,210.2307260925458,23006.483807926998,107.87275223992765,True,True,0.08038688310919692,0.0
27,189.02767161265587,24275.611839955673,140.91711472719908,True,True,0.08212288019386033,0.0
27,177.69922457435834,17837.05436415039,1660.281535005197,True,True,0.08152720041825433,0.004668290748399524
27,218.41722180728206,26912.274044938385,165.26162149966694,True,True,0.08151962758824383,0.0059614729988042145
27,317.2683744092605,21981.95125698112,3881.088220048696,True,True,0.07845570473677575,0.0
27,199.12817633788413,21033.752703806385,107.7860836307273,True,True,0.08123024641383908,0.0
27,195.66510976680243,22644.495205022395,398.7799741793424,True,True,0.08180026176319301,0.0028599053483283295
27,264.5128946751356,25747.65996588394,119.86685458881159,True,True,0.08035889199625464,0.0037392052704988575
27,192.78281092798957,20070.951622910798,1450.1585448160768,True,True,0.08084001462792395,0.005253540429419826
27,249.06974688638002,24022.891932865605,1730.7873598765582,True,True,0.08106880427471011,0.0
27,280.5258006264921,24508.17090412602,3209.782279096544,True,True,0.07962190300345735,0.0
27,328.3849448697375,24222.282548900694,472.22895128652453,True,True,0.08124055848259987,0.0
