brutOK,errH,err,tH,n,tDW,tDC,tBB
True,0.0,True,0.09151944406273163,27,334.32275988161564,539.0613629715517,0.1414819300023663
True,0.0,True,0.09180521837685313,27,246.774302306585,318.7325837290181,0.14149482624728535
True,0.0,True,0.09205898524429904,27,208.2914512562142,368.1628453390052,0.14298624617764785
True,0.0,True,0.09256306949435772,27,245.01880060415715,477.2480375599116,0.14318639846752676
True,0.0,True,0.09233231811914713,27,327.7871448413602,561.5340172080323,0.14281909164875373
True,0.0,True,0.09262440249072178,27,201.52901850330332,294.101156265242,0.14471250448127693
True,0.0,True,0.09294465909995644,27,181.55487315156137,402.8966531623155,0.14341952773053554
True,0.0,True,0.09241700874622293,27,226.4111969111995,449.5353940408677,0.14379985999241804
True,0.0,True,0.09212444962051372,27,257.1203964503689,436.9205967988819,0.14237842880977855
True,0.0,True,0.09236867856853159,27,318.4573145782841,696.4080510661006,0.14352340846066436
True,0.0,True,0.09178470048528761,27,286.66358700138517,488.1956637836993,0.14183457596376603
True,0.0,True,0.09248545341145999,27,346.79638614345873,590.6464319559745,0.14166901740344434
True,0.0,True,0.09226135655797979,27,246.98421761859208,427.5680588092655,0.14307801821052146
True,0.0,True,0.092807078053169,27,376.0993864852935,469.05194940045476,0.14319378445059813
True,0.0,True,0.0923145793191548,27,312.4028853074248,512.2371889883652,0.14340152477346543
True,0.0,True,0.09257165409764037,27,346.47569043694864,612.5812690006569,0.1430099274838541
True,0.0,True,0.09192884080077471,27,381.60858400321257,715.03747231327,0.14501692909224934
True,0.0,True,0.09263636201576168,27,255.65687722216052,501.58112321514636,0.14298334016617475
True,0.0,True,0.09227544674656403,27,382.4640903233861,560.2577177924104,0.14389272587784854
True,0.0,True,0.09260035847867551,27,421.52753840200603,614.8671859991737,0.14200125152073473
True,0.0,True,0.09218822567925868,27,362.7759104905029,466.8026524130255,0.1426467609282972
True,0.0,True,0.0920562592033907,27,362.34069817389053,536.7465139715932,0.14292383619471244
True,0.0,True,0.0922003849990898,27,292.1671897347551,689.2045506586632,0.1424286174488107
True,0.0,True,0.09225760856369145,27,378.703634487465,572.9594302829355,0.14381968743195342
True,0.0,True,0.09228601015664148,27,251.92934176367189,440.36029023118317,0.14290157425109434
True,0.0,True,0.09299678060970257,27,273.76336521572534,483.180551789701,0.14139582451899266
True,0.0,True,0.09249807692606205,27,250.02411755526234,683.6699942747751,0.1450679457151479
True,0.0,True,0.09286192293261022,27,236.50672980584204,445.03863463178277,0.1442390326714108
True,0.0,True,0.09273126133659773,27,299.71158198895864,458.672491600737,0.14485321824606823
True,0.0,True,0.09180083367388242,27,389.4358695251867,557.1075220359489,0.14391878867639957
True,0.0,True,0.09222750494226087,27,366.6867291710029,667.0861997020742,0.14308066180815465
True,0.0,True,0.0929014263903732,27,269.3144728740056,399.08610998342436,0.1419446795376765
True,0.0,True,0.0922884299976849,27,215.6061227221719,436.5195565856993,0.14348382630318246
True,0.0,True,0.09242706786265541,27,187.31451754529888,296.56819425872527,0.14377352797734003
True,0.0,True,0.09271232671459397,27,303.7555401097052,505.50186075270176,0.143046290033085
True,0.0,True,0.09203705882911277,27,378.07742149258655,717.7767919686934,0.14202323190111404
True,0.0,True,0.09230468573920991,27,255.04688809936243,444.8363548144698,0.14362269526160784
True,0.0,True,0.09209497594245966,27,270.59806666026515,584.721177467145,0.14393938666175
True,0.0,True,0.09210069193574644,27,370.0107880091916,448.71218358166516,0.14550794500468073
True,0.0,True,0.0920886071538313,27,259.2861201976323,413.5793791695808,0.1434583844040702
True,0.0,True,0.09184244249325055,27,347.68984470117306,689.8174633582433,0.14247227780641838
True,0.0,True,0.09154862990552183,27,247.3506178939715,439.6216285880655,0.14241196015602484
True,0.0,True,0.09190734605089527,27,227.4110326331786,410.88652432275313,0.14204430937898374
True,0.0,True,0.09172723117326344,27,301.89531575888395,509.28699102951214,0.14298625550922284
True,0.0,True,0.09257455019799098,27,361.51429067831486,574.6622732840478,0.14122066664146254
True,0.0,True,0.09218616408568343,27,255.19901276048685,508.8548802305013,0.14269943335894608
True,0.0,True,0.0927642550731131,27,250.613385785578,394.4916876886661,0.14275868964640076
True,0.0,True,0.09318748981548616,27,250.3766421125167,554.6629552263767,0.14406437277092
True,0.0,True,0.09221829973672799,27,358.3325825165957,567.0505407615565,0.14254326223846353
True,0.0,True,0.09243019773412185,27,417.7794273942709,580.9853502432816,0.14431096244233052
True,0.0,True,0.09233826297531736,27,531.6976765170693,874.9420550884679,0.1425987124509709
True,0.0,True,0.0929166283371675,27,286.3485217676498,453.78221860155463,0.14426823603355687
True,0.0,True,0.0919375646654172,27,386.7263193242252,597.6850917213596,0.14215259031119573
True,0.0,True,0.0920737557829947,27,318.0038356887443,519.2138297716156,0.1424602668144201
True,0.0,True,0.09228936938430896,27,335.5795137052025,628.1089906891187,0.14290088043676055
True,0.0,True,0.09208259874994927,27,341.20380542507127,665.486554071928,0.14185716938932172
True,0.0,True,0.09252815474963438,27,326.40651600169286,675.5405957034478,0.14334186357973963
True,0.0,True,0.09242863576117794,27,264.2934316665762,622.3854422569275,0.1420977114651456
True,0.0,True,0.09199072298981723,27,253.7096552033391,362.3228701374804,0.14333141609230973
True,0.0,True,0.09265281692845995,27,311.8117888807319,547.9424697696231,0.1429163204176667
True,0.0,True,0.09188127203481723,27,313.64809199502423,616.9437212520279,0.14247203764716315
True,0.0,True,0.09216576190168371,27,283.8959810032975,525.4348622402176,0.14524663167732152
True,0.0,True,0.09270286411414728,27,355.52746440017864,645.2250420115888,0.14323962699035309
True,0.0,True,0.09220736752803298,27,233.06022000033408,406.2380255199969,0.14195824077035818
True,0.0,True,0.09258775535914679,27,403.9915514877066,704.5423736951003,0.1448794876740508
True,0.0,True,0.09283806218051947,27,363.30164534350234,677.2974416768799,0.14199927865203518
True,0.0,True,0.09208545984394838,27,250.24842124225367,461.222165171057,0.14504677981948247
True,0.0,True,0.09291388269170167,27,348.76475972123444,640.5305876396596,0.14387479735013756
True,0.0,True,0.09262114855480785,27,275.25431023807164,623.1377932126634,0.1417480679746232
True,0.0,True,0.09282518909265047,27,223.78196027553219,321.00134845157817,0.14443704906428598
True,0.0,True,0.09219976198320663,27,256.14437955017723,522.7461389731616,0.14152908044796556
True,0.0,True,0.09271997596264817,27,274.9504783294267,401.70299250166863,0.1428662986383196
True,0.0,True,0.09185046981279266,27,234.7931853029877,392.8758355323225,0.1419475568028496
True,0.0,True,0.09248787697789998,27,217.31327908028933,343.98819057137837,0.14364624503090792
True,0.0,True,0.09195840959154646,27,323.4547164091574,777.4863867089152,0.1419694304093381
True,0.0,True,0.09202846925378153,27,296.8471665226389,568.2766337413341,0.14240730992250175
True,0.0,True,0.09332143885671035,27,334.5533050264099,650.86643731532,0.1437108535097776
True,0.0,True,0.09244730657078822,27,310.95883462694474,549.6319417725317,0.14192974865652042
True,0.0,True,0.09208303860077383,27,361.4372421676914,664.041601975138,0.14293017951641468
True,0.0,True,0.09300136321840559,27,450.9967907797545,575.8927187998779,0.1435731717126971
True,0.0,True,0.09156446844994061,27,348.3344234326588,486.51500418782234,0.1431790360585587
True,0.0,True,0.09241279757108734,27,303.5973417572677,681.512589333579,0.14240283703109016
True,0.0,True,0.09288421700729411,27,394.20227900457877,624.7914567939006,0.1417505967701009
True,0.0,True,0.0916076585064551,27,308.2659767533187,521.6956852236763,0.1426222723113958
True,0.0,True,0.09195196949620517,27,322.91801712874855,590.9430225146934,0.14309387766460155
True,0.0,True,0.09295657626790035,27,371.21133184215677,446.2879433762282,0.14260642877454943
True,0.0,True,0.09169671281479624,27,323.25378160125445,490.71752061136067,0.14420557302769865
True,0.0,True,0.09152338658336502,27,289.88353413296863,538.8376879855059,0.1430762656643651
True,0.0,True,0.09239091091080033,27,293.38103299960494,748.8896253053099,0.1432167589048412
True,0.0,True,0.09198156524891438,27,298.66616101935506,641.5190173623463,0.14183111449589023
True,0.0,True,0.09231164837619742,27,319.464422828917,535.922316252254,0.14322236980160144
True,0.0,True,0.09272860287128765,27,365.96023900589597,541.5252737584524,0.14287938639228906
True,0.0,True,0.0925667087994213,27,224.1629693572494,461.1789754126221,0.14241843836477777
