brutOK,errH,tH,err,n,tBB,tDW,tDC
True,0.0,0.08407082328181945,True,27,1685.9262749785557,269.10335639129494,556.9050336198416
True,0.01006036217303823,0.0846345868458695,True,27,623.0469428002834,314.1597759909928,478.7023806013167
True,0.0037593984962406013,0.08290484695909242,True,27,1271.5411300305277,316.1030358014008,539.398546770422
True,0.0,0.0844736598181554,True,27,1066.6490860749036,422.0248376315629,619.6048859856091
True,0.011472275334608031,0.08240698100098126,True,27,1396.1428310722113,294.95503625366837,468.3344474993646
True,0.02033271719038817,0.08528710553961838,True,27,672.6600832189433,292.7815328790423,559.695199248381
True,0.011682242990654205,0.08394078915022637,True,27,353.01767354313694,246.57871584640816,372.9323883218548
True,0.0020491803278688526,0.0838853607534841,True,27,1763.0891405278817,323.6534968018532,473.6274757888168
True,0.01364522417153996,0.08483132234973464,True,27,415.5107030334572,301.46399575460237,508.2729696554856
True,0.002506265664160401,0.08581800139089633,True,27,305.33870225190185,297.0802993804682,417.71184500645506
True,0.018789144050104383,0.08310473007038978,True,27,1316.5936486329883,247.55327914608642,387.9453995032236
True,0.009881422924901186,0.085045117630774,True,27,2673.352282959968,387.3536849084,525.5214384394802
True,0.008210180623973728,0.08441590551230609,True,27,2921.5944029856473,281.309678876663,502.16614768012533
True,0.006342494714587738,0.08371687279797617,True,27,4052.8803300112486,343.21581371062035,491.90488290041685
True,0.0,0.0849427267077951,True,27,313.5362797882408,409.0232241627139,750.1340594996387
True,0.0,0.08257770422408509,True,27,1547.317509073764,342.78508042916656,617.3829477338586
True,0.0,0.08501523162467547,True,27,1230.738011538051,339.31342158133964,587.6295854977798
True,0.008,0.08380444855346199,True,27,665.8095771912485,242.09674689918756,438.5408471888778
True,0.0,0.08368726327051523,True,27,1228.1872929694753,260.5702219481923,382.2407414599394
True,0.0,0.08340436521105239,True,27,954.8943473491818,291.58400400432157,498.96493880078197
True,0.0,0.08408381373351212,True,27,71.50009206003126,358.0838438445845,694.6448864348765
True,0.006396588486140725,0.08489735638453758,True,27,4300.784209975973,345.5295754164191,432.35708718103444
True,0.0,0.08445467178940008,True,27,1162.1815880062059,487.65576139558107,660.7008571736515
True,0.005758157389635317,0.08529802331662845,True,27,389.5578038257857,306.42315406294074,510.81572889557316
True,0.0,0.08391176215279166,True,27,354.42450634824735,320.1669045413534,419.83827099796724
True,0.008968609865470852,0.08264358962262058,True,27,5349.50066707097,397.44004399593297,508.9547574364891
True,0.011574074074074073,0.08361435549149836,True,27,1315.3724919538945,351.18114672202086,474.37442941591144
True,0.0,0.08332236576163522,True,27,265.87327488232404,277.3219440003029,613.2164781156462
True,0.0,0.08477134300906236,True,27,710.5676729697734,225.41878245432267,443.28339245509017
