brutOK,err,tDW,errH,tBB,n,tH,tDC
True,True,467.01003150083125,0.018907563025210083,1201.4258890412748,27,0.08024220362044175,605.4221063968726
True,True,324.40040153451264,0.017632241813602016,546.7518472578377,27,0.08129943518202051,484.7460920922458
True,True,349.0113747871614,0.0,292.2660500044003,27,0.08181688186330648,488.5332837002352
True,True,334.9068952957168,0.011516314779270634,2656.7763418424875,27,0.08104614642981803,445.81748481670564
True,True,410.49400575381395,0.014423076923076924,3428.0226479750127,27,0.08170692698365555,727.6765364998331
True,True,280.25160110829506,0.0,441.5997415004919,27,0.08179851896283943,473.2818731106818
True,True,286.88630105598884,0.008968609865470852,453.6621696703757,27,0.08067844251862749,443.0042109028859
True,True,262.1790952122721,0.012915129151291513,1462.50791545026,27,0.08075559502507716,417.1160411893983
True,True,363.10177830119545,0.009029345372460496,1589.3237794516608,27,0.08114338840463062,457.21378079615533
True,True,296.7656182445353,0.0056179775280898875,3717.57581201382,27,0.08156133775844365,410.4970721527934
True,True,224.6649091830477,0.014925373134328358,842.1511024935171,27,0.08057912408039568,406.55174740822986
True,True,453.3791675401682,0.009671179883945842,1322.7086825063452,27,0.081868361406356,671.236837548869
True,True,313.4492413296054,0.0,3390.721309930086,27,0.080831627184175,522.3805291267732
True,True,261.49715642493805,0.011516314779270634,355.45503449975513,27,0.08079844724359932,430.30848055654633
True,True,405.89150208203745,0.022,634.2481130268425,27,0.08259211878250032,591.278982872609
True,True,399.90247091433656,0.007905138339920948,836.5677386367073,27,0.0809845985154591,595.1618562394287
True,True,337.146705349109,0.0,1495.055581559427,27,0.08109015112013006,495.4775241902098
True,True,359.56371530818825,0.006122448979591836,1864.383578998968,27,0.08050035325835869,499.1407996043563
True,True,394.7397277418834,0.009596928982725527,1209.0634210035205,27,0.0809916980307836,559.9399534985423
True,True,270.12620815852034,0.021164021164021163,1566.2593954475597,27,0.08161895554115452,442.89861189794135
True,True,229.46362514492301,0.0,129.93970576924488,27,0.08014781220729499,393.3736501688448
True,True,202.2595255402848,0.0017421602787456446,175.6452653906308,27,0.08076470909356613,400.162063674846
True,True,389.91133517508086,0.0,3020.6301680300385,27,0.08242899162477496,632.5010642675417
True,True,313.3381957343469,0.0,654.7968147788197,27,0.08152635500525279,550.6853457643755
True,True,324.86010594293475,0.0,1301.4639320317656,27,0.08097198233833541,590.4490616521798
True,True,266.9788613372172,0.0,918.028466636315,27,0.08032644116485843,415.09631941638264
True,True,375.72185406819557,0.0,1091.319945990108,27,0.08100198779955498,524.2217207689665
True,True,422.09647553549576,0.01364522417153996,3908.930625068024,27,0.08113928721473421,671.1920780196253
True,True,301.5191970625892,0.0,661.6926685906947,27,0.08149391546399848,496.1922144982964
True,True,480.23572778329253,0.0,703.6791959932694,27,0.0814022891522761,803.8860841964682
True,True,342.9557675761836,0.017142857142857144,821.8832376878709,27,0.08131169404655965,546.3041421025991
True,True,291.3329624023069,0.012345679012345678,1082.2002253650378,27,0.08230391342294638,520.9622573262701
True,True,302.98515311733354,0.007352941176470588,3420.2820560894907,27,0.08120614214904005,479.9903072183952
True,True,365.00842486006707,0.0057692307692307696,1770.878070499748,27,0.08123988145205249,529.7846867858121
True,True,285.53724253331035,0.010330578512396695,454.4092318043113,27,0.08135518002262367,431.35161426934326
True,True,313.2258780611058,0.0,861.6654690122232,27,0.08126792237288391,538.3617691178289
True,True,600.6993647315539,0.0070052539404553416,8774.304548976943,27,0.08052826909703789,932.4868040159345
True,True,555.2874705495519,0.003968253968253968,3161.724016070366,27,0.0819410330626573,736.6764566783482
True,True,311.1392221326241,0.0,850.7233382551931,27,0.07998580549524897,480.80887920223176
True,True,377.6765362216303,0.001652892561983471,1360.9134544385597,27,0.08189638158072035,633.5063921287656
