id,gen_size,gen_count,mut,cross,elitism,t_size,time,score,satisfied,n_var,n_clause
0,100,200,0.05,0.0,1,0.1,1.2288146018981934,0.9707299787721025,0.9751937984496124,150,645
1,100,200,0.05,0.1,1,0.1,1.1012580394744873,0.9780423372033729,0.9829457364341085,150,645
2,100,200,0.05,0.2,1,0.1,1.1449837684631348,0.9750261138716602,0.9798449612403101,150,645
3,100,200,0.05,0.30000000000000004,1,0.1,1.1176910400390625,0.972621823227352,0.9767441860465116,150,645
4,100,200,0.05,0.4,1,0.1,1.2407634258270264,0.9797047069008455,0.9844961240310077,150,645
5,100,200,0.05,0.5,1,0.1,1.1180915832519531,0.9792763540196624,0.9844961240310077,150,645
6,100,200,0.05,0.6,1,0.1,1.117079257965088,0.9803599848202744,0.9844961240310077,150,645
7,100,200,0.05,0.7,1,0.1,1.1051180362701416,0.9787307614767028,0.9829457364341085,150,645
8,100,200,0.05,0.7999999999999999,1,0.1,1.0995538234710693,0.9727161628499935,0.9767441860465116,150,645
9,100,200,0.05,0.8999999999999999,1,0.1,1.0982367992401123,0.9781596243017919,0.9829457364341085,150,645
10,100,200,0.05,0.9999999999999999,1,0.1,1.108809471130371,0.9739170333123822,0.9782945736434109,150,645
11,100,200,0.05,0.0,1,0.1,0.8853216171264648,0.9876051982528992,0.9906976744186047,100,430
12,100,200,0.05,0.1,1,0.1,0.8990328311920166,0.983085390900367,0.986046511627907,100,430
13,100,200,0.05,0.2,1,0.1,0.873755931854248,0.9847436748311643,0.9883720930232558,100,430
14,100,200,0.05,0.30000000000000004,1,0.1,0.8715305328369141,0.9831740643413842,0.9883720930232558,100,430
15,100,200,0.05,0.4,1,0.1,0.88942551612854,0.9890282334370711,0.9930232558139535,100,430
16,100,200,0.05,0.5,1,0.1,0.8852927684783936,0.989302047551996,0.9930232558139535,100,430
17,100,200,0.05,0.6,1,0.1,0.8912456035614014,0.9855574041022789,0.9883720930232558,100,430
18,100,200,0.05,0.7,1,0.1,0.8671059608459473,0.9859546004896905,0.9906976744186047,100,430
19,100,200,0.05,0.7999999999999999,1,0.1,0.896622896194458,0.9893560390676149,0.9930232558139535,100,430
20,100,200,0.05,0.8999999999999999,1,0.1,0.9076099395751953,0.9894833047830025,0.9930232558139535,100,430
21,100,200,0.05,0.9999999999999999,1,0.1,0.8934671878814697,0.9910991668086709,0.9953488372093023,100,430
22,100,200,0.05,0.0,1,0.1,1.2393674850463867,0.9710755780924142,0.9747675962815405,175,753
23,100,200,0.05,0.1,1,0.1,1.2417235374450684,0.9696895399084435,0.9734395750332006,175,753
24,100,200,0.05,0.2,1,0.1,1.198115587234497,0.9718682400114355,0.9760956175298805,175,753
25,100,200,0.05,0.30000000000000004,1,0.1,1.2128853797912598,0.9758101632110014,0.9800796812749004,175,753
26,100,200,0.05,0.4,1,0.1,1.228520154953003,0.9724984148044437,0.9760956175298805,175,753
27,100,200,0.05,0.5,1,0.1,1.2142322063446045,0.9708570868320645,0.9747675962815405,175,753
28,100,200,0.05,0.6,1,0.1,1.225832462310791,0.9718521406554097,0.9760956175298805,175,753
29,100,200,0.05,0.7,1,0.1,1.2374193668365479,0.9723144221641493,0.9760956175298805,175,753
30,100,200,0.05,0.7999999999999999,1,0.1,1.2136695384979248,0.9740040482046057,0.9774236387782205,175,753
31,100,200,0.05,0.8999999999999999,1,0.1,1.2435531616210938,0.9723305215201751,0.9760956175298805,175,753
32,100,200,0.05,0.9999999999999999,1,0.1,1.2163662910461426,0.974096044524753,0.9774236387782205,175,753
33,100,200,0.05,0.0,1,0.1,0.7685675621032715,0.9935500641738685,0.9969230769230769,75,325
34,100,200,0.05,0.1,1,0.1,0.7827041149139404,0.9822886968426457,0.9846153846153847,75,325
35,100,200,0.05,0.2,1,0.1,0.780045747756958,0.9880250534782237,0.9907692307692307,75,325
36,100,200,0.05,0.30000000000000004,1,0.1,0.7919909954071045,0.9886479678275006,0.9907692307692307,75,325
37,100,200,0.05,0.4,1,0.1,0.8172228336334229,0.990053409771541,0.9938461538461538,75,325
38,100,200,0.05,0.5,1,0.1,0.8014552593231201,0.9962458286985539,1.0,75,325
39,100,200,0.05,0.6,1,0.1,0.7910506725311279,0.9881696585950202,0.9907692307692307,75,325
40,100,200,0.05,0.7,1,0.1,0.7864489555358887,0.9819383075211775,0.9846153846153847,75,325
41,100,200,0.05,0.7999999999999999,1,0.1,0.7842094898223877,0.9880139300077009,0.9907692307692307,75,325
42,100,200,0.05,0.8999999999999999,1,0.1,0.7961978912353516,0.9854961410113801,0.9876923076923076,75,325
43,100,200,0.05,0.9999999999999999,1,0.1,0.7984147071838379,0.9879972448019166,0.9907692307692307,75,325
44,100,200,0.05,0.0,1,0.1,1.2030634880065918,0.970297513771501,0.9747675962815405,175,753
45,100,200,0.05,0.1,1,0.1,1.2447845935821533,0.9715282026065171,0.9760956175298805,175,753
46,100,200,0.05,0.2,1,0.1,1.2052717208862305,0.9662338480627369,0.9707835325365206,175,753
47,100,200,0.05,0.30000000000000004,1,0.1,1.2122035026550293,0.9732632046465763,0.9774236387782205,175,753
48,100,200,0.05,0.4,1,0.1,1.210883617401123,0.9677786267008939,0.9721115537848606,175,753
49,100,200,0.05,0.5,1,0.1,1.2106599807739258,0.9674048155971557,0.9721115537848606,175,753
50,100,200,0.05,0.6,1,0.1,1.2276244163513184,0.9704943728734696,0.9747675962815405,175,753
51,100,200,0.05,0.7,1,0.1,1.2226734161376953,0.9704368634728945,0.9747675962815405,175,753
52,100,200,0.05,0.7999999999999999,1,0.1,1.2040157318115234,0.9719152851103879,0.9760956175298805,175,753
53,100,200,0.05,0.8999999999999999,1,0.1,1.2166731357574463,0.9710747631019827,0.9760956175298805,175,753
54,100,200,0.05,0.9999999999999999,1,0.1,1.2121288776397705,0.9669881059702795,0.9707835325365206,175,753
55,100,200,0.05,0.0,1,0.1,0.996837854385376,0.9802897856362658,0.9851301115241635,125,538
56,100,200,0.05,0.1,1,0.1,0.9895076751708984,0.9810831377842746,0.9851301115241635,125,538
57,100,200,0.05,0.2,1,0.1,0.9928874969482422,0.9811144955766861,0.9851301115241635,125,538
58,100,200,0.05,0.30000000000000004,1,0.1,0.991715669631958,0.9773307174639589,0.9814126394052045,125,538
59,100,200,0.05,0.4,1,0.1,0.9961767196655273,0.977067312007703,0.9814126394052045,125,538
60,100,200,0.05,0.5,1,0.1,0.9995849132537842,0.9818978866713062,0.9869888475836431,125,538
61,100,200,0.05,0.6,1,0.1,0.9835891723632812,0.9785343029768919,0.983271375464684,125,538
62,100,200,0.05,0.7,1,0.1,1.0042667388916016,0.9793057046702127,0.983271375464684,125,538
63,100,200,0.05,0.7999999999999999,1,0.1,0.9956831932067871,0.979177137721326,0.983271375464684,125,538
64,100,200,0.05,0.8999999999999999,1,0.1,1.0080783367156982,0.9776662458427611,0.9814126394052045,125,538
65,100,200,0.05,0.9999999999999999,1,0.1,0.9842138290405273,0.9844341783617243,0.9888475836431226,125,538
66,100,200,0.05,0.0,1,0.1,1.006272315979004,0.9802319939295211,0.9851301115241635,125,538
67,100,200,0.05,0.1,1,0.1,0.9850387573242188,0.9796090736950559,0.983271375464684,125,538
68,100,200,0.05,0.2,1,0.1,0.9862608909606934,0.9792876005365041,0.983271375464684,125,538
69,100,200,0.05,0.30000000000000004,1,0.1,0.9743592739105225,0.9822937406309028,0.9869888475836431,125,538
70,100,200,0.05,0.4,1,0.1,0.9801695346832275,0.9784823570908111,0.983271375464684,125,538
71,100,200,0.05,0.5,1,0.1,0.9927845001220703,0.9799305468536077,0.983271375464684,125,538
72,100,200,0.05,0.6,1,0.1,0.9927277565002441,0.9808780613452515,0.9851301115241635,125,538
73,100,200,0.05,0.7,1,0.1,0.9996199607849121,0.9844865734746064,0.9888475836431226,125,538
74,100,200,0.05,0.7999999999999999,1,0.1,0.9853274822235107,0.9853591815992092,0.9907063197026023,125,538
75,100,200,0.05,0.8999999999999999,1,0.1,1.0027472972869873,0.9854104186681146,0.9888475836431226,125,538
76,100,200,0.05,0.9999999999999999,1,0.1,0.9993071556091309,0.979100334618901,0.983271375464684,125,538
77,100,200,0.05,0.0,1,0.1,1.337230920791626,0.962327725810626,0.9662790697674418,200,860
78,100,200,0.05,0.1,1,0.1,1.311307430267334,0.9678927607498059,0.9720930232558139,200,860
79,100,200,0.05,0.2,1,0.1,1.3150227069854736,0.9653817706215106,0.9697674418604652,200,860
80,100,200,0.05,0.30000000000000004,1,0.1,1.3434760570526123,0.9707733852183237,0.9744186046511628,200,860
81,100,200,0.05,0.4,1,0.1,1.3270256519317627,0.9653718342145154,0.9697674418604652,200,860
82,100,200,0.05,0.5,1,0.1,1.3414947986602783,0.9645187636336747,0.9686046511627907,200,860
83,100,200,0.05,0.6,1,0.1,1.3685047626495361,0.9694572780715052,0.9732558139534884,200,860
84,100,200,0.05,0.7,1,0.1,1.3328640460968018,0.9675887066957518,0.9720930232558139,200,860
85,100,200,0.05,0.7999999999999999,1,0.1,1.3812482357025146,0.9630814323215144,0.9674418604651163,200,860
86,100,200,0.05,0.8999999999999999,1,0.1,1.3435885906219482,0.9645863312012423,0.9686046511627907,200,860
