id,gen_size,gen_count,mut,cross,elitism,t_size,time,score,satisfied,n_var,n_clause
0,100,20,0.05,0.7,1,0.1,0.09430313110351562,0.9551287193292458,0.9596899224806201,150,645
1,100,50,0.05,0.7,1,0.1,0.2406928539276123,0.972262312773502,0.9767441860465116,150,645
2,100,80,0.05,0.7,1,0.1,0.38322901725769043,0.9709594535298791,0.9751937984496124,150,645
3,100,110,0.05,0.7,1,0.1,0.5449550151824951,0.9724254948234764,0.9767441860465116,150,645
4,100,140,0.05,0.7,1,0.1,0.7225368022918701,0.9781111796307058,0.9829457364341085,150,645
5,100,170,0.05,0.7,1,0.1,0.918323278427124,0.9737869976163087,0.9782945736434109,150,645
6,100,200,0.05,0.7,1,0.1,1.1117422580718994,0.979885736987536,0.9844961240310077,150,645
7,100,230,0.05,0.7,1,0.1,1.312129020690918,0.9810738588522705,0.986046511627907,150,645
8,100,260,0.05,0.7,1,0.1,1.5409624576568604,0.9780321383252494,0.9829457364341085,150,645
9,100,290,0.05,0.7,1,0.1,1.8289084434509277,0.9798474911945733,0.9844961240310077,150,645
10,100,320,0.05,0.7,1,0.1,2.052973985671997,0.9797531515719317,0.9844961240310077,150,645
11,100,350,0.05,0.7,1,0.1,2.324190378189087,0.9761505401847658,0.9798449612403101,150,645
12,100,380,0.05,0.7,1,0.1,2.6620993614196777,0.9741286600334429,0.9782945736434109,150,645
13,100,410,0.05,0.7,1,0.1,2.929517984390259,0.9786109246587528,0.9829457364341085,150,645
14,100,440,0.05,0.7,1,0.1,3.2087721824645996,0.9824889057552506,0.9875968992248062,150,645
15,100,470,0.05,0.7,1,0.1,3.594069480895996,0.9819458629318217,0.986046511627907,150,645
16,100,20,0.05,0.7,1,0.1,0.0652914047241211,0.9750484488650122,0.9790697674418605,100,430
17,100,50,0.05,0.7,1,0.1,0.17984867095947266,0.9800927452264147,0.9837209302325581,100,430
18,100,80,0.05,0.7,1,0.1,0.33765554428100586,0.9798729226271088,0.9837209302325581,100,430
19,100,110,0.05,0.7,1,0.1,0.43829894065856934,0.9892904779415062,0.9930232558139535,100,430
20,100,140,0.05,0.7,1,0.1,0.5998039245605469,0.9876784724526677,0.9906976744186047,100,430
21,100,170,0.05,0.7,1,0.1,0.7462079524993896,0.9872658230118656,0.9906976744186047,100,430
22,100,200,0.05,0.7,1,0.1,0.9205546379089355,0.98908608148952,0.9930232558139535,100,430
23,100,230,0.05,0.7,1,0.1,1.082836389541626,0.9891747818366083,0.9930232558139535,100,430
24,100,260,0.05,0.7,1,0.1,1.3050062656402588,0.9852797334505242,0.9883720930232558,100,430
25,100,290,0.05,0.7,1,0.1,1.49249267578125,0.9891207903209894,0.9930232558139535,100,430
26,100,320,0.05,0.7,1,0.1,1.7050983905792236,0.9911338756401403,0.9953488372093023,100,430
27,100,350,0.05,0.7,1,0.1,1.9509952068328857,0.9873699495062737,0.9906976744186047,100,430
28,100,380,0.05,0.7,1,0.1,2.2212021350860596,0.9874432237060422,0.9906976744186047,100,430
29,100,410,0.05,0.7,1,0.1,2.571190595626831,0.989510300540812,0.9930232558139535,100,430
30,100,440,0.05,0.7,1,0.1,2.8122220039367676,0.987400801800913,0.9906976744186047,100,430
31,100,470,0.05,0.7,1,0.1,3.140838861465454,0.9875396371267904,0.9906976744186047,100,430
32,100,20,0.05,0.7,1,0.1,0.10631012916564941,0.961679198569109,0.9654714475431607,175,753
33,100,50,0.05,0.7,1,0.1,0.2662930488586426,0.9693974515919762,0.9734395750332006,175,753
34,100,80,0.05,0.7,1,0.1,0.5224676132202148,0.9682046056803146,0.9721115537848606,175,753
35,100,110,0.05,0.7,1,0.1,0.7551825046539307,0.9727367988945781,0.9774236387782205,175,753
36,100,140,0.05,0.7,1,0.1,0.8289315700531006,0.971978635595612,0.9760956175298805,175,753
37,100,170,0.05,0.7,1,0.1,1.0282166004180908,0.9742677312827805,0.9787516600265604,175,753
38,100,200,0.05,0.7,1,0.1,1.2507998943328857,0.9768650146424422,0.9814077025232404,175,753
39,100,230,0.05,0.7,1,0.1,1.4599542617797852,0.9757089672588395,0.9800796812749004,175,753
40,100,260,0.05,0.7,1,0.1,1.7182738780975342,0.9746656153674171,0.9787516600265604,175,753
41,100,290,0.05,0.7,1,0.1,1.9927582740783691,0.9736153637519839,0.9774236387782205,175,753
42,100,320,0.05,0.7,1,0.1,2.254126787185669,0.9746794148154392,0.9787516600265604,175,753
43,100,350,0.05,0.7,1,0.1,2.562140464782715,0.9768075169423502,0.9814077025232404,175,753
44,100,380,0.05,0.7,1,0.1,2.8280751705169678,0.9757940638549757,0.9800796812749004,175,753
45,100,410,0.05,0.7,1,0.1,3.1599619388580322,0.9757526655109094,0.9800796812749004,175,753
46,100,440,0.05,0.7,1,0.1,3.5121116638183594,0.976136750147524,0.9800796812749004,175,753
